short,mid,long
0.2304495,0.2359849,1.0992838
0.22948185,0.24151811,1.0992838
0.22718336,0.2514154,1.0992838
0.23111814,0.25551033,1.0992838
0.23210561,0.26021564,1.0992838
0.23220882,0.26774645,1.0992838
0.23588426,0.28239354,1.0992838
0.2393795,0.2886842,1.0992838
0.23710768,0.3053304,1.0992838
0.23708148,0.31422845,1.0992838
0.23789874,0.3206923,1.0992838
0.24286102,0.31655613,1.0992838
0.24494617,0.31882206,1.0992838
0.2503579,0.30535427,1.0992838
0.24971084,0.3001926,1.0992838
0.24897318,0.29444966,1.0992838
0.24893364,0.27946752,1.0992838
0.2457539,0.26409134,1.0992838
0.24406256,0.24219522,1.0992838
0.25056666,0.23283675,1.0992838
0.2503372,0.22562052,1.0992838
0.25369957,0.22045949,1.0992838
0.2528673,0.2210778,1.0992838
0.24986142,0.22419621,1.0992838
0.24956965,0.2304898,1.0992838
0.24996665,0.22905374,1.0992838
0.24901953,0.2275084,1.0992838
0.24612655,0.22013697,1.0992838
0.24474946,0.21614836,1.0992838
0.24737945,0.2137436,1.0992838
0.24758466,0.20023568,1.0992838
0.24607576,0.19858818,1.0992838
0.24583298,0.19867057,1.0992838
0.24575081,0.20199734,1.0992838
0.24177182,0.20375936,1.0992838
0.24020518,0.19994754,1.0992838
0.23973528,0.19914524,1.0992838
0.24210103,0.19357145,1.0992838
0.24325442,0.188847,1.0992838
0.24597812,0.19888657,1.0992838
0.244891,0.20747033,1.0992838
0.24303015,0.21905495,1.0992838
0.2414334,0.22149372,1.0992838
0.24069841,0.22949323,1.0992838
0.2409689,0.23854603,1.0992838
0.24155581,0.23919833,1.0992838
0.24360982,0.23646022,1.0992838
0.24660169,0.2508473,1.0992838
0.24696715,0.25855526,1.0992838
0.24863766,0.2552492,1.0992838
0.24703616,0.25130704,1.0992838
0.24616791,0.24379097,1.0992838
0.24364723,0.23567176,1.0992838
0.23965417,0.22363532,1.0992838
0.23616399,0.21303049,1.0992838
0.23611791,0.20674962,1.0992838
0.23524293,0.21253486,1.0992838
0.23354715,0.2198788,1.0992838
0.2334819,0.21623793,1.0992838
0.22927861,0.21183918,1.0992838
0.23007652,0.20846638,1.0992838
0.22820899,0.20130034,1.0992838
0.23062102,0.19460641,1.0992838
0.23237021,0.1886239,1.0992838
0.23247504,0.18521038,1.0992838
0.23143888,0.18512084,1.0992838
0.23098174,0.18545714,1.0992838
0.23225111,0.19396421,1.0992838
0.23247658,0.19815487,1.0992838
0.2322697,0.19774899,1.0992838
0.23752,0.20824185,1.0992838
0.24260086,0.21637902,1.0992838
0.2388566,0.21945722,1.0992838
0.23775294,0.22314692,1.0992838
0.2363555,0.23103198,1.0992838
0.23515195,0.22988003,1.0992838
0.23496631,0.2305558,1.0992838
0.23680902,0.2368354,1.0992838
0.23613615,0.24891347,1.0992838
0.23736683,0.25865406,1.0992838
0.23390546,0.26588696,1.0992838
0.23287195,0.26211658,1.0992838
0.2355845,0.27364933,1.0992838
0.23559655,0.27189368,1.0992838
0.23345949,0.26557845,1.0992838
0.23459421,0.27226993,1.0992838
0.2369355,0.28053603,1.0992838
0.23804668,0.28735748,1.0992838
0.23991367,0.28790992,1.0992838
